legajo=100, ubicacion=presidencia, reportTo=, name=Presidente, reportees=0
legajo=200, ubicacion=senado, reportTo=, name=Jefe Senado, reportees=0
legajo=201, ubicacion=senado, reportTo=Jefe Senado, name=senado201, reportees=0
legajo=202, ubicacion=senado, reportTo=Jefe Senado, name=senado202, reportees=0
legajo=203, ubicacion=senado, reportTo=Jefe Senado, name=senado203, reportees=0
legajo=204, ubicacion=senado, reportTo=Jefe Senado, name=senado204, reportees=0
legajo=205, ubicacion=senado, reportTo=Jefe Senado, name=senado205, reportees=0
legajo=206, ubicacion=senado, reportTo=Jefe Senado, name=senado206, reportees=0
legajo=207, ubicacion=senado, reportTo=Jefe Senado, name=senado207, reportees=0
legajo=208, ubicacion=senado, reportTo=Jefe Senado, name=senado208, reportees=0
legajo=209, ubicacion=senado, reportTo=Jefe Senado, name=senado209, reportees=0
legajo=210, ubicacion=senado, reportTo=Jefe Senado, name=senado210, reportees=0
legajo=211, ubicacion=senado, reportTo=Jefe Senado, name=senado211, reportees=0
legajo=212, ubicacion=senado, reportTo=Jefe Senado, name=senado212, reportees=0
legajo=213, ubicacion=senado, reportTo=Jefe Senado, name=senado213, reportees=0
legajo=214, ubicacion=senado, reportTo=Jefe Senado, name=senado214, reportees=0
legajo=215, ubicacion=senado, reportTo=Jefe Senado, name=senado215, reportees=0
legajo=216, ubicacion=senado, reportTo=Jefe Senado, name=senado216, reportees=0
legajo=217, ubicacion=senado, reportTo=Jefe Senado, name=senado217, reportees=0
legajo=218, ubicacion=senado, reportTo=Jefe Senado, name=senado218, reportees=0
legajo=219, ubicacion=senado, reportTo=Jefe Senado, name=senado219, reportees=0
legajo=220, ubicacion=senado, reportTo=Jefe Senado, name=senado220, reportees=0
legajo=221, ubicacion=senado, reportTo=Jefe Senado, name=senado221, reportees=0
legajo=222, ubicacion=senado, reportTo=Jefe Senado, name=senado222, reportees=0
legajo=223, ubicacion=senado, reportTo=Jefe Senado, name=senado223, reportees=0
legajo=224, ubicacion=senado, reportTo=Jefe Senado, name=senado224, reportees=0
legajo=225, ubicacion=senado, reportTo=Jefe Senado, name=senado225, reportees=0
legajo=226, ubicacion=senado, reportTo=Jefe Senado, name=senado226, reportees=0
legajo=227, ubicacion=senado, reportTo=Jefe Senado, name=senado227, reportees=0
legajo=228, ubicacion=senado, reportTo=Jefe Senado, name=senado228, reportees=0
legajo=229, ubicacion=senado, reportTo=Jefe Senado, name=senado229, reportees=0
legajo=230, ubicacion=senado, reportTo=Jefe Senado, name=senado230, reportees=0
legajo=231, ubicacion=senado, reportTo=Jefe Senado, name=senado231, reportees=0
legajo=232, ubicacion=senado, reportTo=Jefe Senado, name=senado232, reportees=0
legajo=400, ubicacion=diputado, reportTo=, name=Jefe Diputado, reportees=0
legajo=401, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado401, reportees=0
legajo=402, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado402, reportees=0
legajo=403, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado403, reportees=0
legajo=404, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado404, reportees=0
legajo=405, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado405, reportees=0
legajo=406, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado406, reportees=0
legajo=407, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado407, reportees=0
legajo=408, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado408, reportees=0
legajo=409, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado409, reportees=0
legajo=410, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado410, reportees=0
legajo=411, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado411, reportees=0
legajo=412, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado412, reportees=0
legajo=413, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado413, reportees=0
legajo=414, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado414, reportees=0
legajo=415, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado415, reportees=0
legajo=416, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado416, reportees=0
legajo=417, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado417, reportees=0
legajo=418, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado418, reportees=0
legajo=419, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado419, reportees=0
legajo=420, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado420, reportees=0
